id,title,authors,venue,year,text
51499,color gamut mapping techniques for color hard copy images,"t hoshino , rs berns","proc . spie ,",1993.0,"COL title VAL color gamut mapping techniques for color hard copy images COL authors VAL t hoshino , rs berns COL venue VAL proc . spie , COL year VAL 1993.0"
51500,query processing in sdd-1 : a system for distributed databases,"n goodman , pa bernstein , e wong , cl reeve , jb","acm _ tods ,",,"COL title VAL query processing in sdd-1 : a system for distributed databases COL authors VAL n goodman , pa bernstein , e wong , cl reeve , jb COL venue VAL acm _ tods , COL year VAL "
51501,a multiminiprocessor system implemented through pipelining,"le shar , es davidson","ieee computer ,",,"COL title VAL a multiminiprocessor system implemented through pipelining COL authors VAL le shar , es davidson COL venue VAL ieee computer , COL year VAL "
51502,towards an algebra of historical relational data bases,j clifford,"acm-sigmod international conference on management of data ,",,"COL title VAL towards an algebra of historical relational data bases COL authors VAL j clifford COL venue VAL acm-sigmod international conference on management of data , COL year VAL "
51503,"tectonics of the higher-and tethyan himalaya , upper kaghan valley , nw himalaya , pakistan :",da spencer,,1993.0,"COL title VAL tectonics of the higher-and tethyan himalaya , upper kaghan valley , nw himalaya , pakistan : COL authors VAL da spencer COL venue VAL  COL year VAL 1993.0"
51504,evaluating experiental education .,el angus,"new directions for higher education ,",1974.0,"COL title VAL evaluating experiental education . COL authors VAL el angus COL venue VAL new directions for higher education , COL year VAL 1974.0"
51505,presenting dynamically expandable hypermedia,"ca macnee , w behrendt , jr kalmus , kg jeffery , md",,,"COL title VAL presenting dynamically expandable hypermedia COL authors VAL ca macnee , w behrendt , jr kalmus , kg jeffery , md COL venue VAL  COL year VAL "
51506,advanced two-degree-of-freedom pid algorithm,"k hiroi , a nomura , a yoneya , y togari","proc . 29th sice annual conference ,",,"COL title VAL advanced two-degree-of-freedom pid algorithm COL authors VAL k hiroi , a nomura , a yoneya , y togari COL venue VAL proc . 29th sice annual conference , COL year VAL "
51507,"threatened egotism , narcissism , self-esteem , and direct and displaced aggression : does self-love or","bj bushman , rf baumeister","journal of personality and social psychology ,",1998.0,"COL title VAL threatened egotism , narcissism , self-esteem , and direct and displaced aggression : does self-love or COL authors VAL bj bushman , rf baumeister COL venue VAL journal of personality and social psychology , COL year VAL 1998.0"
51508,contracting in a university without walls program .,as craig,"new directions in higher education ,",1975.0,"COL title VAL contracting in a university without walls program . COL authors VAL as craig COL venue VAL new directions in higher education , COL year VAL 1975.0"
51509,80 gb/s nrz transmission over a wide optical bandwidth using an integrated tandem electro-absorption,re tenchâ ? ¦,"submitted to ofc ,",,"COL title VAL 80 gb/s nrz transmission over a wide optical bandwidth using an integrated tandem electro-absorption COL authors VAL re tenchâ ? ¦ COL venue VAL submitted to ofc , COL year VAL "
51510,data abstractions for database systems,"pc lockemann , hc mayr , wh weil , wh wohlleber","acm transactions on database systems ,",1979.0,"COL title VAL data abstractions for database systems COL authors VAL pc lockemann , hc mayr , wh weil , wh wohlleber COL venue VAL acm transactions on database systems , COL year VAL 1979.0"
51511,interviso : dealing with the complexity of federated database access,"m templeton , h henley , e maros , dj van buer","the vldb journal the international journal on very large & hellip ; ,",1995.0,"COL title VAL interviso : dealing with the complexity of federated database access COL authors VAL m templeton , h henley , e maros , dj van buer COL venue VAL the vldb journal the international journal on very large & hellip ; , COL year VAL 1995.0"
51512,low electricity appliances -- options for the future,js nã ¸ rgã ¥ rd,,1989.0,COL title VAL low electricity appliances -- options for the future COL authors VAL js nã ¸ rgã ¥ rd COL venue VAL  COL year VAL 1989.0
51513,a note on algebraic independence of logarithmic and exponential constants,"bf caviness , mj prelle","acm sigsam bulletin ,",1978.0,"COL title VAL a note on algebraic independence of logarithmic and exponential constants COL authors VAL bf caviness , mj prelle COL venue VAL acm sigsam bulletin , COL year VAL 1978.0"
51514,calibrating the query optimizer cost model of iroâ ?? db an object oriented federated database system,g gardarin,proceedings of the 22 thconference on very large data bases,,COL title VAL calibrating the query optimizer cost model of iroâ ?? db an object oriented federated database system COL authors VAL g gardarin COL venue VAL proceedings of the 22 thconference on very large data bases COL year VAL 
51515,strategic planning : an overview,rc shirley,"new directions for higher education ,",1988.0,"COL title VAL strategic planning : an overview COL authors VAL rc shirley COL venue VAL new directions for higher education , COL year VAL 1988.0"
51516,bilateral internal carotid artery dissection due to trivial trauma,"ww lee , er jensen","journal of emergency medicine ,",2000.0,"COL title VAL bilateral internal carotid artery dissection due to trivial trauma COL authors VAL ww lee , er jensen COL venue VAL journal of emergency medicine , COL year VAL 2000.0"
51517,a dialogue interface for data base applications,r studer,"vldb ,",1980.0,"COL title VAL a dialogue interface for data base applications COL authors VAL r studer COL venue VAL vldb , COL year VAL 1980.0"
51518,the quality component of the demonstration,"d zimmerman , s karon , j swearengen","draft : cms nhcmq demonstration final report ,",,"COL title VAL the quality component of the demonstration COL authors VAL d zimmerman , s karon , j swearengen COL venue VAL draft : cms nhcmq demonstration final report , COL year VAL "
51519,an empirical investigation of multiple viewpoint reasoning in requirements engineering,"t menzies , s easterbrook , b nuseibeh , s waugh",,,"COL title VAL an empirical investigation of multiple viewpoint reasoning in requirements engineering COL authors VAL t menzies , s easterbrook , b nuseibeh , s waugh COL venue VAL  COL year VAL "
51520,psychosocial and psychological interventions for preventing postpartum depression,"cl dennis , d creedy","cochrane database syst rev ,",2004.0,"COL title VAL psychosocial and psychological interventions for preventing postpartum depression COL authors VAL cl dennis , d creedy COL venue VAL cochrane database syst rev , COL year VAL 2004.0"
51521,sentence production,rs berndt,"see rapp ,",,"COL title VAL sentence production COL authors VAL rs berndt COL venue VAL see rapp , COL year VAL "
51522,"development of wavelan , an ism band wireless lan .",b tuch,"at and t technical journal ,",1993.0,"COL title VAL development of wavelan , an ism band wireless lan . COL authors VAL b tuch COL venue VAL at and t technical journal , COL year VAL 1993.0"
51523,sexual cell division and conjugation-papilla formation in sexual reproduction of closterium,t ichimura,"proc . int . seaweed symp ,",,"COL title VAL sexual cell division and conjugation-papilla formation in sexual reproduction of closterium COL authors VAL t ichimura COL venue VAL proc . int . seaweed symp , COL year VAL "
51524,taxonomic mental models in competitor definition,"jf porac , h thomas","the academy of management review ,",1990.0,"COL title VAL taxonomic mental models in competitor definition COL authors VAL jf porac , h thomas COL venue VAL the academy of management review , COL year VAL 1990.0"
51525,"holidays , cultural diversity , and the public culture .","dt naylor , bd smith","social studies and the young learner ,",1993.0,"COL title VAL holidays , cultural diversity , and the public culture . COL authors VAL dt naylor , bd smith COL venue VAL social studies and the young learner , COL year VAL 1993.0"
51526,"leader appeal , leader performance , and the motive profiles of leaders and followers : a study of",dg winter,"journal of personality and social psychology ,",,"COL title VAL leader appeal , leader performance , and the motive profiles of leaders and followers : a study of COL authors VAL dg winter COL venue VAL journal of personality and social psychology , COL year VAL "
51527,developing tightly-coupled data mining applications on a relational database system . 1995,"r agrawal , k shim","ibm almaden research center : san jose ,",,"COL title VAL developing tightly-coupled data mining applications on a relational database system . 1995 COL authors VAL r agrawal , k shim COL venue VAL ibm almaden research center : san jose , COL year VAL "
51528,topological relations in theworld of minimumboundingrectangles : astudywith r-trees,"d papadias , y theodoridis , t sellis , m egenhofer",proceedings of acm sigmod international conference on,,"COL title VAL topological relations in theworld of minimumboundingrectangles : astudywith r-trees COL authors VAL d papadias , y theodoridis , t sellis , m egenhofer COL venue VAL proceedings of acm sigmod international conference on COL year VAL "
51529,a computational study of subsonic flows over a medium range cargo aircraft,m uygun,,2000.0,COL title VAL a computational study of subsonic flows over a medium range cargo aircraft COL authors VAL m uygun COL venue VAL  COL year VAL 2000.0
51530,preoperative diagnosis of obturator hernia by computed tomography in six patients,"m nishina , c fujii , r ogino , r kobayashi , a kohama","journal of emergency medicine ,",2001.0,"COL title VAL preoperative diagnosis of obturator hernia by computed tomography in six patients COL authors VAL m nishina , c fujii , r ogino , r kobayashi , a kohama COL venue VAL journal of emergency medicine , COL year VAL 2001.0"
51531,"is self-enhancement healthy ? conceptual , psychometric , and empirical analysis","jb asendorpf , f ostendorf","journal of personality and social psychology ,",1998.0,"COL title VAL is self-enhancement healthy ? conceptual , psychometric , and empirical analysis COL authors VAL jb asendorpf , f ostendorf COL venue VAL journal of personality and social psychology , COL year VAL 1998.0"
