id,title,authors,venue,year,text
2479,hmap - a temporal data model managing intervals with different granularities and indeterminacy from natural language sentences,"c combi , g pozzi",vldb j.,2001,"COL title VAL hmap - a temporal data model managing intervals with different granularities and indeterminacy from natural language sentences COL authors VAL c combi , g pozzi COL venue VAL vldb j. COL year VAL 2001"
2480,optimizing database architecture for the new bottleneck : memory access,"s manegold , p boncz , m kersten",vldb j.,2000,"COL title VAL optimizing database architecture for the new bottleneck : memory access COL authors VAL s manegold , p boncz , m kersten COL venue VAL vldb j. COL year VAL 2000"
2481,one-dimensional and multi-dimensional substring selectivity estimation,"h jagadish , o kapitskaia , r ng , d srivastava",vldb j.,2000,"COL title VAL one-dimensional and multi-dimensional substring selectivity estimation COL authors VAL h jagadish , o kapitskaia , r ng , d srivastava COL venue VAL vldb j. COL year VAL 2000"
2482,exploiting early sorting and early partitioning for decisionsupport query processing,"j clauпen , a kemper , d kossmann , c wiesner",vldb j.,2000,"COL title VAL exploiting early sorting and early partitioning for decisionsupport query processing COL authors VAL j clauпen , a kemper , d kossmann , c wiesner COL venue VAL vldb j. COL year VAL 2000"
2483,guest editorial,,,2000,COL title VAL guest editorial COL authors VAL  COL venue VAL  COL year VAL 2000
2484,dynamic vp-tree indexing for n-nearest neighbor search given pair-wise distances,"a fu , p chan , y cheung , y moon",vldb j.,2000,"COL title VAL dynamic vp-tree indexing for n-nearest neighbor search given pair-wise distances COL authors VAL a fu , p chan , y cheung , y moon COL venue VAL vldb j. COL year VAL 2000"
2485,checking the temporal integrity of interactive multimedia documents,"i mirbel , b pernici , t sellis , s tserkezoglou , m vazirgiannis",vldb j.,2000,"COL title VAL checking the temporal integrity of interactive multimedia documents COL authors VAL i mirbel , b pernici , t sellis , s tserkezoglou , m vazirgiannis COL venue VAL vldb j. COL year VAL 2000"
2486,progressive evaluation of nested aggregate queries,"k tan , c goh , b ooi",vldb j.,2000,"COL title VAL progressive evaluation of nested aggregate queries COL authors VAL k tan , c goh , b ooi COL venue VAL vldb j. COL year VAL 2000"
2487,online dynamic reordering,"v raman , b raman , j hellerstein",vldb j.,2000,"COL title VAL online dynamic reordering COL authors VAL v raman , b raman , j hellerstein COL venue VAL vldb j. COL year VAL 2000"
2488,monotonic complements for independent data warehouses,"d laurent , j lechtenbіrger , n spyratos , g vossen",vldb j.,2001,"COL title VAL monotonic complements for independent data warehouses COL authors VAL d laurent , j lechtenbіrger , n spyratos , g vossen COL venue VAL vldb j. COL year VAL 2001"
2489,efficiently publishing relational data as xml documents,"j shanmugasundaram , e shekita , r barr , m carey , b lindsay , h pirahesh , b reinwald",vldb j.,2001,"COL title VAL efficiently publishing relational data as xml documents COL authors VAL j shanmugasundaram , e shekita , r barr , m carey , b lindsay , h pirahesh , b reinwald COL venue VAL vldb j. COL year VAL 2001"
2490,a survey of approaches to automatic schema matching,"e rahm , p bernstein",vldb j.,2001,"COL title VAL a survey of approaches to automatic schema matching COL authors VAL e rahm , p bernstein COL venue VAL vldb j. COL year VAL 2001"
2491,semantic integrity support in sql : 1999 and commercial ( object - ) relational database management systems,"c tќrker , m gertz",vldb j.,2001,"COL title VAL semantic integrity support in sql : 1999 and commercial ( object - ) relational database management systems COL authors VAL c tќrker , m gertz COL venue VAL vldb j. COL year VAL 2001"
2492,guest editorial,,,2001,COL title VAL guest editorial COL authors VAL  COL venue VAL  COL year VAL 2001
2493,picodbms : scaling down database techniques for the smartcard,"p pucheral , l bouganim , p valduriez , c bobineau",vldb j.,2001,"COL title VAL picodbms : scaling down database techniques for the smartcard COL authors VAL p pucheral , l bouganim , p valduriez , c bobineau COL venue VAL vldb j. COL year VAL 2001"
2494,approximate query mapping : accounting for translation closeness,"k chang , h garcia-molina",vldb j.,2001,"COL title VAL approximate query mapping : accounting for translation closeness COL authors VAL k chang , h garcia-molina COL venue VAL vldb j. COL year VAL 2001"
2495,approximate query processing using wavelets,"k chakrabarti , m garofalakis , r rastogi , k shim",vldb j.,2001,"COL title VAL approximate query processing using wavelets COL authors VAL k chakrabarti , m garofalakis , r rastogi , k shim COL venue VAL vldb j. COL year VAL 2001"
2496,designing wrapper components for e-services in integrating heterogeneous systems,"m mecella , b pernici",vldb j.,2001,"COL title VAL designing wrapper components for e-services in integrating heterogeneous systems COL authors VAL m mecella , b pernici COL venue VAL vldb j. COL year VAL 2001"
2497,active rules for xml : a new paradigm for e-services,"a bonifati , s ceri , s paraboschi",vldb j.,2001,"COL title VAL active rules for xml : a new paradigm for e-services COL authors VAL a bonifati , s ceri , s paraboschi COL venue VAL vldb j. COL year VAL 2001"
2498,minicon : a scalable algorithm for answering queries using views,"r pottinger , a halevy",vldb j.,2001,"COL title VAL minicon : a scalable algorithm for answering queries using views COL authors VAL r pottinger , a halevy COL venue VAL vldb j. COL year VAL 2001"
2499,user-cognizant multidimensional analysis,s sarawagi,vldb j.,2001,COL title VAL user-cognizant multidimensional analysis COL authors VAL s sarawagi COL venue VAL vldb j. COL year VAL 2001
2500,e-services - guest editorial,,,2001,COL title VAL e-services - guest editorial COL authors VAL  COL venue VAL  COL year VAL 2001
2501,integrating and customizing heterogeneous e-commerce applications,"a eyal , t milo",vldb j.,2001,"COL title VAL integrating and customizing heterogeneous e-commerce applications COL authors VAL a eyal , t milo COL venue VAL vldb j. COL year VAL 2001"
2502,an internet-based negotiation server for e-commerce,"s su , c huang , j hammer , y huang , h li , l wang , y liu , c pluempitiwiriyawej , m lee , h lam",vldb j.,2001,"COL title VAL an internet-based negotiation server for e-commerce COL authors VAL s su , c huang , j hammer , y huang , h li , l wang , y liu , c pluempitiwiriyawej , m lee , h lam COL venue VAL vldb j. COL year VAL 2001"
2503,an architecture to support scalable online personalization on the web,"a datta , k dutta , d vandermeer , k ramamritham , s navathe",vldb j.,2001,"COL title VAL an architecture to support scalable online personalization on the web COL authors VAL a datta , k dutta , d vandermeer , k ramamritham , s navathe COL venue VAL vldb j. COL year VAL 2001"
2504,the gmap : a versatile tool for physical data independence,"o tsatalos , m solomon , y ioannidis",vldb j.,1996,"COL title VAL the gmap : a versatile tool for physical data independence COL authors VAL o tsatalos , m solomon , y ioannidis COL venue VAL vldb j. COL year VAL 1996"
2505,algebraic query optimisation for database programming languages,"a poulovassilis , c small",vldb j.,1996,"COL title VAL algebraic query optimisation for database programming languages COL authors VAL a poulovassilis , c small COL venue VAL vldb j. COL year VAL 1996"
2506,index nesting - an efficient approach to indexing in object-oriented databases,"b ooi , j han , h lu , k tan",vldb j.,1996,"COL title VAL index nesting - an efficient approach to indexing in object-oriented databases COL authors VAL b ooi , j han , h lu , k tan COL venue VAL vldb j. COL year VAL 1996"
2507,the design and implementation of k : a high-level knowledge-base programming language of osam * . kbms,"y shyy , j arroyo , s su , h lam",vldb j.,1996,"COL title VAL the design and implementation of k : a high-level knowledge-base programming language of osam * . kbms COL authors VAL y shyy , j arroyo , s su , h lam COL venue VAL vldb j. COL year VAL 1996"
2508,a taxonomy of correctness criteria in database applications,"k ramamritham , p chrysanthis",vldb j.,1996,"COL title VAL a taxonomy of correctness criteria in database applications COL authors VAL k ramamritham , p chrysanthis COL venue VAL vldb j. COL year VAL 1996"
2509,a predicate-based caching scheme for client-server database architectures,"a keller , j basu",vldb j.,1996,"COL title VAL a predicate-based caching scheme for client-server database architectures COL authors VAL a keller , j basu COL venue VAL vldb j. COL year VAL 1996"
2510,an experimental system for object-based sharing in federated databases,"d fang , s ghandeharizadeh",vldb j.,1996,"COL title VAL an experimental system for object-based sharing in federated databases COL authors VAL d fang , s ghandeharizadeh COL venue VAL vldb j. COL year VAL 1996"
2511,type-safe relaxing of schema consistency rules for flexible modeling in oodbms,"e amiel , m bellosta , e dujardin , e simon",vldb j.,1996,"COL title VAL type-safe relaxing of schema consistency rules for flexible modeling in oodbms COL authors VAL e amiel , m bellosta , e dujardin , e simon COL venue VAL vldb j. COL year VAL 1996"
2512,an asymptotically optimal multiversion b-tree,"b becker , s gschwind , t ohler , b seeger , p widmayer",vldb j.,1996,"COL title VAL an asymptotically optimal multiversion b-tree COL authors VAL b becker , s gschwind , t ohler , b seeger , p widmayer COL venue VAL vldb j. COL year VAL 1996"
2513,building knowledge base management systems,"j mylopoulos , v chaudhri , d plexousakis , a shrufi , t topaloglou",vldb j.,1996,"COL title VAL building knowledge base management systems COL authors VAL j mylopoulos , v chaudhri , d plexousakis , a shrufi , t topaloglou COL venue VAL vldb j. COL year VAL 1996"
2514,"the hb-pi-tree : a multi-attribute index supporting concurrency , recovery and node consolidation","g evangelidis , d lomet , b salzberg",vldb j.,1997,"COL title VAL the hb-pi-tree : a multi-attribute index supporting concurrency , recovery and node consolidation COL authors VAL g evangelidis , d lomet , b salzberg COL venue VAL vldb j. COL year VAL 1997"
2515,data placement in shared-nothing parallel database systems,"m mehta , d dewitt",vldb j.,1997,"COL title VAL data placement in shared-nothing parallel database systems COL authors VAL m mehta , d dewitt COL venue VAL vldb j. COL year VAL 1997"
2516,access path support for referential integrity in sql2,"t hфrder , j reinert",vldb j.,1996,"COL title VAL access path support for referential integrity in sql2 COL authors VAL t hфrder , j reinert COL venue VAL vldb j. COL year VAL 1996"
2517,a complete temporal relational algebra,"d dey , t barron , v storey",vldb j.,1996,"COL title VAL a complete temporal relational algebra COL authors VAL d dey , t barron , v storey COL venue VAL vldb j. COL year VAL 1996"
